ADDR_ID, LAT, LON, HUISNR, STRAAT_ID, STRAATNM, POSTCODE, NISCODE, GEM_NAAM, MATCH_NIS, MATCH_GEM
2003445356, 50.9949081296, 5.10888445215, 110, 114431, Heesstraat, 3290, 71020, Halen, 24020, Diest
2003445357, 50.9949081296, 5.10888445215, 112, 114431, Heesstraat, 3290, 71020, Halen, 24020, Diest
2003453760, 50.7806148512, 4.10202143819, 452, 25573, Ninoofse Steenweg, 9400, 23024, Gooik, 41048, Ninove
2003453735, 50.8661227476, 3.98750961613, 186, 62940, Lebeke, 9400, 41024, Haaltert, 41048, Ninove
2003453743, 50.7806148512, 4.10202143819, 447, 25573, Ninoofse Steenweg, 9400, 23024, Gooik, 41048, Ninove
2003453744, 50.8668883595, 3.9896682101, 162, 62940, Lebeke, 9400, 41024, Haaltert, 41048, Ninove
2003453745, 50.8662245085, 3.98981674673, 166, 62940, Lebeke, 9400, 41024, Haaltert, 41048, Ninove
2003453777, 50.7806148512, 4.10202143819, 454, 25573, Ninoofse Steenweg, 9400, 23024, Gooik, 41048, Ninove
2003456718, 51.2829593649, 4.41586074457, 47, 2140, NSB-straat, 2200, 11002, Antwerpen, 13011, Herentals
2003454463, 50.7463070727, 3.38047397219, 5, 54668, Vierabelen, 8554, 34043, Spiere-Helkijn, 34042, Zwevegem
2003454483, 50.7452470722, 3.37744071403, 13, 54668, Vierabelen, 8554, 34043, Spiere-Helkijn, 34042, Zwevegem
2003514198, 50.9924455142, 4.64081645989, 1, 163435, Dijlezicht, 3110, 24048, Keerbergen, 24094, Rotselaar
